year,top_charge,indicator,disposition,white_n,white_perc,black_n,black_perc,hispanic_n,hispanic_perc,other_n,other_perc,total_n,total_perc
2017,Drug Felony,Sentences,Cond Discharge,28,0.18543046357615892,25,0.07936507936507936,3,0.05882352941176471,1,0.1111111111111111,57,0.10836501901140684
2017,Drug Felony,Sentences,Other/Unknown,0,0,0,0,0,0,0,0,0,0
2017,Misdemeanor,Overall,Total Dispositions,3645,1,2539,1,394,1,191,1,6769,1
2017,Misdemeanor,Overall,Convicted-Sentenced,2055,0.5637860082304527,1415,0.557306025994486,213,0.5406091370558376,113,0.5916230366492147,3796,0.5607918451765401
2017,Misdemeanor,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Misdemeanor,Overall,Covered by Another Case,329,0.09026063100137174,218,0.08586057502953919,27,0.06852791878172589,13,0.06806282722513089,587,0.08671886541586644
2017,Misdemeanor,Overall,Dismissed-ACD,835,0.22908093278463648,499,0.1965340685309177,101,0.2563451776649746,50,0.2617801047120419,1485,0.21938247894814594
2017,Misdemeanor,Overall,Dismissed-Not ACD,383,0.10507544581618657,390,0.1536037810161481,52,0.1319796954314721,15,0.078534031413612565,840,0.12409513960703206
2017,Misdemeanor,Overall,Acquitted,3,8.230452674897119e-4,4,0.0015754233950374162,0,0,0,0,7,0.001034126163391934
2017,Misdemeanor,Overall,DA Declined to Prosecute,1,2.7434842249657066e-4,0,0,0,0,0,0,1,1.4773230905599054e-4
2017,Misdemeanor,Overall,Other,39,0.010699588477366255,13,0.005120126033871603,1,0.0025380710659898475,0,0,53,0.007829812379967499
2017,Misdemeanor,Adult Non-YO Convictions,Felonies,10,0.0027434842249657067,11,0.004332414336352895,0,0,0,0,21,0.0031023784901758017
2017,Misdemeanor,Adult Non-YO Convictions,Misdemeanors,1118,0.30672153635116595,870,0.34265458842063806,117,0.2969543147208122,47,0.24607329842931935,2152,0.31791992908849165
2017,Misdemeanor,Adult Non-YO Convictions,Non-Criminal/Unknown,897,0.24609053497942388,474,0.1866876723119338,91,0.23096446700507614,65,0.3403141361256544,1527,0.22558723592849755
